label,key
基本每股收益(元),Earning Per Share
每股净资产(元),Book Value Per Share
每股经营活动产生的现金流量净额(元),Cash Flow From Operating Activities Per Share
主营业务收入(万元),Operating Revenue
营业利润(万元),Operating Profit
投资收益(万元),Investment Revenue
净利润(万元),Net Profit
净利润(扣除非经常性损益后)(万元),Net Profit Excl Non recurring
经营活动产生的现金流量净额(万元),Cash Flow From Operating Activities
现金及现金等价物净增加额(万元),Cash and Cash Equivalents Increase
总资产(万元),Total Asset
流动资产(万元),Current Asset
总负债(万元),Total Liability
流动负债(万元),Current Liability
股东权益不含少数股东权益(万元), Equity
营业利润率(%),Operating Margin
销售净利率(%),Sales Margin
净资产收益率(%),Return on Equity
销售毛利率(%),Gross Margin
三项费用比重(%),sga expense percentage
流动比率(%),Current ratio
速动比率(%),quick ratio
现金比率(%),Cash Ratio
资产负债率(%),Debt Asset Ratio
长期负债比率(%),Long Term Liability Ratio
固定资产比重(%),Fixed Assets Ratio
主营业务收入增长率(%),Income Growth Rate
净利润增长率(%),Net Profit Growth Rate
净资产增长率(%),Net Assets Growth Rate
总资产增长率(%),Total Assets Growth Rate
应收账款周转天数(天),Days Receivables Turnover
存货周转天数(天),Days Sales of Inventory
总资产周转天数(天),Total Asset Turnover
流动资产周转天数(天),Current Asset Turnover
现金流量比率(%),Cash flow ratio
